Fri Jul 17 08:41:17 2015
It's time to go fishing with the Dailys!!
Setting up CAN0...
CAN0 init ok!!
K = 	4
I = 	9
D = 	23
BitShift K = 	2
BitShift I = 	7
BitShift D = 	4
#:Mode	Millis	Speed	Lat	Long	Head	Final	Goal	Diff	Sum	Drift	Left	Right
1:Man. 	6178	0	0	0	304	0	304	0	0	0	200	0
1:Man. 	6380	0	0	0	303	0	304	0	0	0	200	0
1:Man. 	6599	0	0	0	303	0	304	1	0	0	200	0
1:Man. 	6800	0	0	0	303	0	304	1	0	0	200	0
1:Man. 	7000	0	0	0	303	0	304	1	0	0	200	0
1:Man. 	7201	0	0	0	303	0	304	1	0	0	99	101
1:Man. 	7402	0	0	0	302	0	304	1	3	0	99	101
1:Man. 	7603	0	0	0	302	0	304	2	11	0	100	100
1:Man. 	7806	0	0	0	302	0	304	2	19	0	101	99
1:Man. 	8006	0	0	0	302	0	304	2	25	0	101	99
1:Man. 	8207	0	0	0	302	0	304	2	33	0	102	98
1:Man. 	8409	0	0	0	306	0	304	-2	37	0	98	102
1:Man. 	8609	0	0	0	306	0	304	-2	31	0	98	102
1:Man. 	8809	0	0	0	306	0	304	-2	23	0	97	103
1:Man. 	9010	0	0	0	306	0	304	-2	15	0	97	103
1:Man. 	9210	0	0	0	306	0	304	-2	7	0	96	104
1:Man. 	9411	0	0	0	308	0	304	-2	1	0	103	97
1:Man. 	9612	0	0	0	308	0	304	-4	-15	-1	99	101
1:Man. 	9812	0	0	0	308	0	304	-4	-31	-1	98	102
1:Man. 	10012	0	0	0	308	0	304	-4	-43	-1	97	103
1:Man. 	10213	0	0	0	308	0	304	-4	-59	-1	96	104
1:Man. 	10415	0	0	0	309	0	304	-5	-76	-1	91	109
1:Man. 	10617	0	0	0	309	0	304	-5	-91	-1	90	110
1:Man. 	10818	0	0	0	309	0	304	-5	-111	-1	89	111
1:Man. 	11020	0	0	0	309	0	304	-5	-131	-2	87	113
1:Man. 	11220	0	0	0	309	0	304	-5	-151	-2	86	114
1:Man. 	11421	0	0	0	310	0	304	-5	-166	-2	84	116
1:Man. 	11622	0	0	0	310	0	304	-6	-190	-2	81	119
1:Man. 	11823	0	0	0	310	0	304	-6	-214	-2	79	121
1:Man. 	12023	0	0	0	310	0	304	-6	-238	-2	78	122
1:Man. 	12224	0	0	0	310	0	304	-6	-256	-2	77	123
1:Man. 	12425	0	0	0	310	0	304	-6	-280	-3	75	125
1:Man. 	12636	0	0	0	310	0	304	-6	-304	-3	73	127
1:Man. 	12836	0	0	0	310	0	304	-6	-328	-3	71	129
1:Man. 	13037	0	0	0	310	0	304	-6	-352	-3	70	130
1:Man. 	13239	0	0	0	310	0	304	-6	-376	-3	68	132
1:Man. 	13442	0	0	0	310	0	304	-6	-394	-4	66	134
1:Man. 	13643	0	0	0	310	0	304	-6	-418	-4	64	136
1:Man. 	13844	0	0	0	310	0	304	-6	-442	-4	62	138
1:Man. 	14044	0	0	0	310	0	304	-6	-460	-4	61	139
1:Man. 	14244	0	0	0	310	0	304	-6	-484	-4	59	141
1:Man. 	14446	0	0	0	310	0	304	-6	-508	-4	58	142
