Fri Jul 17 08:46:52 2015
It's time to go fishing with the Dailys!!
Setting up CAN0...
CAN0 init ok!!
K = 	4
I = 	9
D = 	23
BitShift K = 	2
BitShift I = 	7
BitShift D = 	4
#:Mode	Millis	Speed	Lat	Long	Head	Final	Goal	Diff	Sum	Drift	Left	Right
1:Man. 	8260	0	0	0	273	0	273	0	0	0	200	0
1:Man. 	8461	0	0	0	273	0	273	0	0	0	200	0
1:Man. 	8664	0	0	0	273	0	273	0	0	0	200	0
1:Man. 	8882	0	0	0	273	0	273	0	0	0	200	0
1:Man. 	9083	0	0	0	273	0	273	0	0	0	200	0
1:Man. 	9283	0	0	0	273	0	273	0	0	0	200	0
1:Man. 	9484	0	0	0	273	0	273	0	0	0	100	100
1:Man. 	9687	0	0	0	273	0	273	0	0	0	100	100
1:Man. 	9887	0	0	0	273	0	273	0	0	0	100	100
1:Man. 	10088	0	0	0	273	0	273	0	0	0	100	100
1:Man. 	10306	0	0	0	273	0	273	0	0	0	100	100
1:Man. 	10507	0	0	0	274	0	273	-1	-2	-1	98	102
1:Man. 	10707	0	0	0	274	0	273	-1	-6	-1	98	102
1:Man. 	10907	0	0	0	274	0	273	-1	-9	-1	98	102
1:Man. 	11108	0	0	0	274	0	273	-1	-13	-1	98	102
1:Man. 	11308	0	0	0	274	0	274	0	0	0	100	100
2:Turn 	11510	0	0	0	275	0	275	0	2	0	101	99
2:Turn 	11710	0	0	0	275	0	275	0	2	0	101	99
2:Turn 	11912	0	0	0	275	0	275	0	2	0	101	99
2:Turn 	12130	0	0	0	275	0	275	0	2	0	101	99
2:Turn 	12331	0	0	0	275	0	275	0	2	0	101	99
2:Turn 	12532	0	0	0	276	0	275	-1	0	0	100	100
2:Turn 	12733	0	0	0	276	0	276	0	0	0	101	99
2:Turn 	12934	0	0	0	276	0	276	0	0	0	101	99
2:Turn 	13135	0	0	0	276	0	276	0	0	0	101	99
2:Turn 	13336	0	0	0	276	0	276	0	0	0	101	99
2:Turn 	13537	0	0	0	276	0	276	0	0	0	101	99
2:Turn 	13739	0	0	0	276	0	276	0	0	0	101	99
2:Turn 	13939	0	0	0	276	0	277	1	4	0	102	98
2:Turn 	14140	0	0	0	276	0	277	1	7	0	102	98
2:Turn 	14341	0	0	0	276	0	277	1	11	0	102	98
2:Turn 	14542	0	0	0	277	0	277	0	13	0	101	99
