Fri Jul 17 08:30:56 2015
It's time to go fishing with the Dailys!!
Setting up CAN0...
CAN0 init ok!!
#:Mode	Millis	Speed	Lat	Long	Head	Final	Goal	Diff	Sum	Drift	Left	Right
1:Man. 	3622	0	0	0	88	0	88	0	0	0	200	0
1:Man. 	3825	0	0	0	87	0	87	0	0	0	200	0
1:Man. 	4030	0	0	0	87	0	87	0	0	0	200	0
2:Turn 	4232	0	0	0	87	0	86	-1	0	0	200	0
2:Turn 	4434	0	0	0	87	0	86	-1	0	0	200	0
2:Turn 	4636	0	0	0	87	0	86	-1	0	0	200	0
3:Fix 	4836	0	0	0	86	0	0	-86	-86	-2	0	200
3:Fix 	5036	0	0	0	86	0	0	-86	-86	-2	0	200
3:Fix 	5239	0	0	0	86	0	0	-86	-86	-2	0	200
3:Fix 	5439	0	0	0	86	0	0	-86	-86	-2	0	200
3:Fix 	5640	0	0	0	86	0	0	-86	-86	-2	0	200
3:Fix 	5840	0	0	0	87	0	0	-87	-86	-2	0	200
3:Fix 	6040	0	0	0	87	0	0	-87	-86	-2	0	200
3:Fix 	6240	0	0	0	87	0	0	-87	-86	-2	0	200
3:Fix 	6440	0	0	0	87	0	0	-87	-86	-2	0	200
3:Fix 	6640	0	0	0	87	0	0	-87	-86	-2	0	200
3:Fix 	6841	0	0	0	87	0	0	-87	-86	-2	0	200
5:Full	10945	0	0	0	82	0	82	0	-86	-2	79	121
5:Full	11145	0	0	0	82	0	82	0	0	0	92	108
5:Full	11345	0	0	0	82	0	82	0	0	0	92	108
5:Full	11546	0	0	0	82	0	82	0	0	0	92	108
5:Full	11747	0	0	0	81	0	81	0	0	0	92	108
5:Full	11948	0	0	0	81	0	81	0	0	0	92	108
5:Full	12148	0	0	0	81	0	81	0	0	0	98	102
5:Full	12349	0	0	0	81	0	81	0	0	0	98	102
5:Full	12549	0	0	0	81	0	81	0	0	0	98	102
5:Full	12750	0	0	0	82	0	82	0	0	0	98	102
5:Full	12950	0	0	0	82	0	82	0	0	0	98	102
5:Full	13151	0	0	0	82	0	82	0	0	0	101	99
5:Full	13351	0	0	0	82	0	82	0	0	0	101	99
5:Full	13552	0	0	0	82	0	82	0	0	0	101	99
5:Full	13753	0	0	0	81	0	81	0	0	0	101	99
5:Full	13954	0	0	0	81	0	81	0	0	0	101	99
5:Full	14154	0	0	0	81	0	81	0	0	0	98	102
5:Full	14355	0	0	0	81	0	81	0	0	0	98	102
5:Full	14555	0	0	0	81	0	81	0	0	0	98	102
5:Full	14756	0	0	0	83	0	83	0	0	0	98	102
5:Full	14957	0	0	0	83	0	83	0	0	0	98	102
5:Full	15157	0	0	0	83	0	173	90	90	1	200	0
5:Full	15357	0	0	0	83	0	173	90	90	1	200	0
5:Full	15557	0	0	0	83	0	173	90	90	1	200	0
5:Full	15757	0	0	0	82	0	172	90	90	1	200	0
5:Full	15958	0	0	0	82	0	172	90	90	1	200	0
5:Full	16158	0	0	0	82	0	172	90	90	1	200	0
5:Full	16358	0	0	0	82	0	172	90	90	1	200	0
5:Full	16558	0	0	0	82	0	172	90	90	1	200	0
5:Full	16758	0	0	0	85	0	175	90	90	1	200	0
5:Full	16958	0	0	0	85	0	175	90	90	1	200	0
5:Full	17158	0	0	0	85	0	175	90	90	1	200	0
5:Full	17358	0	0	0	85	0	175	90	90	1	200	0
5:Full	17558	0	0	0	85	0	175	90	90	1	200	0
5:Full	17758	0	0	0	88	0	178	90	90	1	200	0
5:Full	17958	0	0	0	88	0	178	90	90	1	200	0
5:Full	18158	0	0	0	88	0	178	90	90	1	200	0
5:Full	18358	0	0	0	88	0	178	90	90	1	200	0
5:Full	18558	0	0	0	88	0	178	90	90	1	200	0
5:Full	18758	0	0	0	92	0	182	90	90	1	200	0
5:Full	18958	0	0	0	92	0	182	90	90	1	200	0
5:Full	19158	0	0	0	92	0	182	90	90	1	200	0
5:Full	19358	0	0	0	92	0	182	90	90	1	200	0
5:Full	19558	0	0	0	92	0	182	90	90	1	200	0
5:Full	19758	0	0	0	99	0	189	90	90	1	200	0
5:Full	19958	0	0	0	99	0	189	90	90	1	200	0
5:Full	20158	0	0	0	99	0	189	90	90	1	200	0
