Fri Jul 17 09:06:39 2015
It's time to go fishing with the Dailys!!
Setting up CAN0...
CAN0 init ok!!
K = 	4
I = 	0
D = 	0
BitShift K = 	2
BitShift I = 	7
BitShift D = 	4
#:Mode	Millis	Speed	Lat	Long	Head	Final	Goal	Diff	Sum	Drift	Left	Right
1:Man. 	7356	0	0	0	298	0	298	0	0	0	100	100
1:Man. 	7557	0	0	0	297	0	298	1	1	0	101	99
1:Man. 	7759	0	0	0	297	0	298	0	2	0	100	100
1:Man. 	7960	0	0	0	297	0	298	1	6	0	101	99
1:Man. 	8162	0	0	0	297	0	298	1	10	0	101	99
1:Man. 	8365	0	0	0	297	0	298	1	14	0	101	99
1:Man. 	8581	0	0	0	297	0	298	1	17	0	101	99
1:Man. 	8781	0	0	0	297	0	298	1	22	0	101	99
1:Man. 	8982	0	0	0	296	0	298	2	28	0	102	98
1:Man. 	9183	0	0	0	296	0	298	2	36	0	102	98
1:Man. 	9383	0	0	0	295	0	298	3	47	0	103	97
1:Man. 	9584	0	0	0	295	0	298	3	56	0	103	97
1:Man. 	9784	1	0	0	295	0	298	2	67	0	102	98
1:Man. 	9984	5	0	0	295	0	298	2	78	0	106	102
1:Man. 	10184	8	0	0	295	0	298	3	90	0	111	105
1:Man. 	10384	12	0	0	294	0	298	4	100	0	115	107
1:Man. 	10584	16	0	0	293	0	298	4	116	0	119	111
1:Man. 	10784	20	0	0	293	0	298	5	135	1	125	115
1:Man. 	10984	24	0	0	293	0	298	5	154	1	128	118
1:Man. 	11184	28	0	0	293	0	298	5	173	1	133	123
1:Man. 	11384	32	0	0	293	0	298	5	191	1	137	127
1:Man. 	11584	35	0	0	293	0	298	5	205	1	140	130
1:Man. 	11784	39	0	0	294	0	298	4	223	1	143	135
1:Man. 	11984	43	0	0	293	0	298	5	243	1	148	138
1:Man. 	12184	47	0	0	292	0	298	6	267	2	153	141
1:Man. 	12384	51	0	0	292	0	298	6	291	2	157	145
1:Man. 	12584	55	0	0	292	0	298	6	316	2	161	149
1:Man. 	12784	58	0	0	292	0	298	6	334	2	164	152
1:Man. 	12984	62	0	0	292	0	298	6	358	2	168	156
1:Man. 	13186	65	0	0	292	0	298	6	382	2	171	159
1:Man. 	13386	65	0	0	292	0	298	6	406	3	171	159
1:Man. 	13587	65	0	0	291	0	298	7	427	3	172	158
1:Man. 	13787	62	0	0	291	0	298	7	455	3	169	155
1:Man. 	13987	59	0	0	291	0	298	6	475	3	166	154
1:Man. 	14187	56	0	0	291	0	298	7	502	3	163	149
