Fri Jul 17 09:45:17 2015
It's time to go fishing with the Dailys!!
Setting up CAN0...
CAN0 init ok!!
K = 	5
I = 	1
D = 	5
BitShift K = 	2
BitShift I = 	10
BitShift D = 	2
#:Mode	Millis	Speed	Lat	Long	Head	Final	Goal	Diff	Sum	Drift	Left	Right
1:Man. 	6193	0	0	0	121	0	121	0	0	0	200	0
1:Man. 	6394	0	0	0	121	0	121	0	0	0	200	0
1:Man. 	6597	0	0	0	121	0	121	0	0	0	200	0
1:Man. 	6797	0	0	0	121	0	121	0	0	0	200	0
1:Man. 	7000	0	0	0	121	0	121	0	0	0	200	0
1:Man. 	7200	0	0	0	121	0	121	0	0	0	100	100
1:Man. 	7402	0	0	0	120	0	121	0	0	0	100	100
1:Man. 	7602	0	0	0	120	0	121	1	4	0	101	99
1:Man. 	7805	0	0	0	121	0	121	0	5	0	100	100
1:Man. 	8008	0	0	0	123	0	121	-2	1	0	97	103
1:Man. 	8208	0	0	0	123	0	121	-2	-5	-1	96	104
1:Man. 	8409	0	0	0	123	0	121	-2	-13	-1	98	102
1:Man. 	8610	0	0	0	123	0	121	-2	-20	-1	98	102
1:Man. 	8811	0	0	0	122	0	121	-1	-25	-1	99	101
1:Man. 	9012	0	0	0	122	0	121	-2	-29	-1	98	102
1:Man. 	9213	0	0	0	124	0	121	-3	-38	-1	97	103
1:Man. 	9414	0	0	0	125	0	121	-4	-51	-1	95	105
1:Man. 	9616	0	0	0	124	0	121	-3	-61	-1	96	104
1:Man. 	9818	0	0	0	124	0	121	-3	-75	-1	96	104
1:Man. 	10019	0	0	0	125	0	121	-4	-90	-1	95	105
1:Man. 	10220	0	0	0	125	0	121	-4	-105	-1	95	105
1:Man. 	10422	0	0	0	125	0	121	-4	-117	-1	95	105
1:Man. 	10624	0	0	0	125	0	121	-4	-133	-1	95	105
1:Man. 	10824	0	0	0	125	0	121	-4	-149	-1	95	105
1:Man. 	11025	0	0	0	125	0	121	-4	-161	-1	95	105
1:Man. 	11226	0	0	0	125	0	121	-4	-177	-1	95	105
1:Man. 	11426	0	0	0	126	0	121	-5	-194	-1	92	108
1:Man. 	11627	0	0	0	125	0	121	-4	-208	-1	94	106
1:Man. 	11829	0	0	0	126	0	121	-5	-227	-1	92	108
1:Man. 	12029	4	0	0	126	0	121	-5	-247	-1	96	112
1:Man. 	12229	8	0	0	126	0	121	-5	-262	-1	99	115
1:Man. 	12429	11	0	0	125	0	121	-4	-281	-1	106	116
1:Man. 	12630	15	0	0	126	0	121	-5	-301	-1	108	122
1:Man. 	12830	19	0	0	126	0	121	-5	-320	-1	112	126
1:Man. 	13043	23	0	0	126	0	121	-5	-340	-1	116	130
1:Man. 	13258	27	0	0	126	0	121	-5	-360	-1	120	134
1:Man. 	13458	31	0	0	126	0	121	-6	-381	-1	122	140
1:Man. 	13658	35	0	0	126	0	121	-5	-401	-1	127	143
1:Man. 	13860	38	0	0	126	0	121	-5	-421	-1	130	146
1:Man. 	14061	38	0	0	126	0	121	-5	-441	-1	130	146
1:Man. 	14262	38	0	0	125	0	121	-5	-455	-1	130	146
