Thu Jul 16 22:55:57 2015
It's time to go fishing with the Dailys!!
Setting up CAN0...
CAN0 init ok!!
#:Mode	Millis	Speed	Lat	Long	Head	Final	Goal	Diff	Sum	Drift	Left	Right
1:Man. 	11594	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	11794	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	11996	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	12198	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	12401	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	12616	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	12819	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	13022	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	13224	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	13426	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	13629	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	13832	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	14032	0	0	0	0	0	0	0	0	0	100	100
1:Man. 	14232	0	0	0	0	0	1	0	0	0	100	100
1:Man. 	14432	0	0	0	0	0	4	4	4	0	155	145
1:Man. 	14633	0	0	0	0	0	7	7	7	0	108	92
1:Man. 	14835	0	0	0	0	0	7	7	28	0	111	89
1:Man. 	15035	0	0	0	0	0	7	7	56	0	115	85
1:Man. 	15235	0	0	0	0	0	7	7	84	1	119	81
1:Man. 	15436	0	0	0	0	0	7	7	112	1	123	77
1:Man. 	15636	0	0	0	0	0	8	7	133	2	126	74
1:Man. 	15836	0	0	0	0	0	11	10	10	0	163	137
1:Man. 	16036	0	0	0	0	0	14	14	14	0	168	132
1:Man. 	16236	0	0	0	0	0	17	17	17	0	173	127
1:Man. 	16436	0	0	0	0	0	20	20	20	0	177	123
1:Man. 	16636	0	0	0	0	0	24	23	23	0	181	119
1:Man. 	16836	0	0	0	0	0	27	26	26	0	185	115
1:Man. 	17036	0	0	0	0	0	30	30	30	0	191	109
1:Man. 	17239	0	0	0	0	0	31	31	93	1	151	49
1:Man. 	17440	0	0	0	0	0	31	31	186	2	164	36
1:Man. 	17640	0	0	0	0	0	31	31	310	4	181	19
1:Man. 	17840	0	0	0	0	0	31	31	434	6	199	1
1:Man. 	18041	0	0	0	0	0	31	31	465	7	200	0
1:Man. 	18242	0	0	0	0	0	31	31	465	7	200	0
1:Man. 	18443	0	0	0	0	0	31	31	465	7	200	0
1:Man. 	18643	0	0	0	0	0	31	31	465	7	200	0
1:Man. 	18845	0	0	0	0	0	31	31	465	7	200	0
1:Man. 	19046	0	0	0	0	0	31	31	465	7	200	0
1:Man. 	19246	0	0	0	0	0	28	28	28	0	88	12
1:Man. 	19446	0	0	0	0	0	24	25	25	0	84	16
1:Man. 	19646	0	0	0	0	0	21	22	22	0	80	20
1:Man. 	19846	0	0	0	0	0	18	18	18	0	74	26
1:Man. 	20047	0	0	0	0	0	16	16	16	0	122	78
1:Man. 	20247	0	0	0	0	0	16	16	64	1	129	71
1:Man. 	20449	0	0	0	0	0	16	16	128	2	138	62
1:Man. 	20649	0	0	0	0	0	15	15	15	0	70	30
1:Man. 	20851	0	0	0	0	0	13	13	13	0	117	83
1:Man. 	21051	0	0	0	0	0	13	13	65	1	125	75
1:Man. 	21251	0	0	0	0	0	11	11	11	0	64	36
1:Man. 	21453	0	0	0	0	0	11	11	44	0	119	81
1:Man. 	21655	0	0	0	0	0	11	11	77	1	123	77
1:Man. 	21855	0	0	0	0	0	11	11	121	1	130	70
1:Man. 	22057	0	0	0	0	0	10	10	10	0	113	87
1:Man. 	22260	0	0	0	0	0	10	10	50	0	119	81
1:Man. 	22472	0	0	0	0	0	10	10	80	1	123	77
1:Man. 	22675	0	0	0	0	0	8	8	8	0	61	39
1:Man. 	22877	0	0	0	0	0	8	8	32	0	114	86
1:Man. 	23079	0	0	0	0	0	8	8	64	1	119	81
1:Man. 	23282	0	0	0	0	0	8	8	96	1	123	77
1:Man. 	23482	0	0	0	0	0	6	7	7	0	58	42
1:Man. 	23682	0	0	0	0	0	5	5	15	0	108	92
1:Man. 	23883	0	0	0	0	0	5	5	35	0	110	90
1:Man. 	24083	0	0	0	0	0	4	5	50	0	113	87
1:Man. 	24284	0	0	0	0	0	3	3	6	0	103	97
1:Man. 	24486	0	0	0	0	0	3	3	18	0	105	95
1:Man. 	24686	0	0	0	0	0	1	1	1	0	51	49
1:Man. 	24886	0	0	0	0	0	358	-1	-1	-1	47	53
1:Man. 	25088	0	0	0	0	0	357	-3	-6	-1	95	105
1:Man. 	25289	0	0	0	0	0	357	-3	-18	-1	93	107
1:Man. 	25489	0	0	0	0	0	357	-3	-27	-1	92	108
1:Man. 	25689	0	0	0	0	0	354	-6	-6	-1	41	59
1:Man. 	25889	0	0	0	0	0	350	-9	-9	-1	36	64
1:Man. 	26089	0	0	0	0	0	347	-13	-13	-1	31	69
1:Man. 	26289	0	0	0	0	0	344	-16	-16	-1	27	73
1:Man. 	26489	0	0	0	0	0	341	-19	-19	-1	23	77
1:Man. 	26689	0	0	0	0	0	338	-22	-22	-1	18	82
1:Man. 	26889	0	0	0	0	0	335	-25	-25	-1	14	86
1:Man. 	27089	0	0	0	0	0	331	-29	-29	-1	8	92
1:Man. 	27289	0	0	0	0	0	328	-32	-32	-1	5	95
1:Man. 	27489	0	0	0	0	0	325	-35	-35	-1	1	99
1:Man. 	27689	0	0	0	0	0	322	-38	-38	-1	0	104
1:Man. 	27889	0	0	0	0	0	319	-41	-41	-1	0	108
1:Man. 	28089	0	0	0	0	0	315	-44	-44	-1	0	112
1:Man. 	28289	0	0	0	0	0	312	-48	-48	-1	0	117
1:Man. 	28489	0	0	0	0	0	309	-51	-51	-1	0	122
1:Man. 	28689	0	0	0	0	0	306	-54	-54	-1	0	126
1:Man. 	28891	0	0	0	0	0	303	-57	-57	-1	0	131
1:Man. 	29094	0	0	0	0	0	303	-57	-228	-4	0	200
1:Man. 	29294	0	0	0	0	0	303	-57	-228	-4	0	200
1:Man. 	29496	0	0	0	0	0	303	-57	-228	-4	0	200
1:Man. 	29698	0	0	0	0	0	303	-57	-228	-4	0	200
1:Man. 	29901	0	0	0	0	0	303	-57	-228	-4	0	200
1:Man. 	30101	-1	0	0	0	0	303	-57	-228	-4	0	200
1:Man. 	30301	-5	0	0	0	0	303	-57	-228	-4	0	200
1:Man. 	30501	-9	0	0	0	0	303	-57	-285	-5	0	200
1:Man. 	30701	-12	0	0	0	0	303	-57	-285	-5	0	200
1:Man. 	30901	-16	0	0	0	0	303	-57	-342	-6	0	200
1:Man. 	31101	-20	0	0	0	0	303	-57	-342	-6	0	200
1:Man. 	31301	-24	0	0	0	0	303	-57	-399	-7	0	200
1:Man. 	31501	-28	0	0	0	0	303	-57	-399	-7	0	200
1:Man. 	31702	-32	0	0	0	0	303	-57	-456	-8	0	200
1:Man. 	31902	-36	0	0	0	0	303	-57	-456	-8	0	200
1:Man. 	32102	-40	0	0	0	0	303	-57	-513	-9	0	200
1:Man. 	32302	-44	0	0	0	0	303	-57	-513	-9	0	200
1:Man. 	32502	-47	0	0	0	0	303	-57	-513	-9	0	198
1:Man. 	32702	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	32903	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	33104	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	33305	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	33507	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	33708	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	33908	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	34110	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	34312	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	34515	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	34716	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	34918	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	35120	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	35320	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	35521	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	35723	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	35923	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	36124	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	36326	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	36537	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	36738	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	36939	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	37141	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	37342	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	37542	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	37744	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	37945	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	38147	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	38347	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	38549	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	38750	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	38950	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	39152	-51	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	39352	-50	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	39553	-48	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	39754	-48	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	39955	-48	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	40156	-48	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	40357	-48	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	40559	-48	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	40760	-48	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	40960	-44	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	41160	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	41361	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	41562	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	41763	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	41964	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	42165	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	42366	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	42568	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	42769	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	42970	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	43171	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	43372	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	43574	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	43774	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	43975	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	44177	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	44379	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	44582	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	44783	-40	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	44983	-39	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	45184	-35	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	45384	-31	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	45584	-27	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	45784	-23	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	45984	-19	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	46184	-15	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	46384	-11	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	46584	-8	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	46784	-4	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	46984	0	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	47184	4	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	47386	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	47588	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	47789	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	47989	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	48191	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	48392	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	48592	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	48794	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	48995	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	49197	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	49397	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	49598	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	49800	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	50000	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	50201	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	50403	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	50617	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	50818	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	51019	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	51220	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	51421	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	51622	6	0	0	0	0	303	-57	-570	-9	0	200
1:Man. 	51823	6	0	0	0	0	303	-57	-570	-9	0	200
