Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting,,,,,,,,,,
4146772,15.09,15.4,25.89,328.2,16.55,27.77,-0.069,0.02,2,2.2,2.05,2.3,2.06,0,48,138,142,44.39751816,-110.5325317,9.1,41.77,0,4146522,0,,,,,,,,,,
4146822,15.09,15.9,25.89,329,16.55,27.648,-0.039,0.01,2,2.24147714,15.09,15.2,24.94,325.2,16.41,25.579,-0.054,0.202,7,2.2,2.05,2.3,2.05,0,48,133,147,44.39752197,-110.5325241,9.1,41.77,0,4147464,0
4147764,15.09,15.2,24.94,325.2,16.38,25.463,-0.027,0.159,6,2.2,2.05,2.3,2.05,0,48,134,146,44.39752579,-110.5325241,9.1,41.77,0,4147514,0,,,,,,,,,,
4148357,15.09,19.7,24.19,327,16.29,24.339,0.19,0.014,2,2.2,2.05,2.3,2.05,0,48,138,142,44.3975296,-110.5325241,9.1,41.77,0,4148107,0,,,,,,,,,,
4148407,15.09,13.6,24.19,329.3,16.31,24.228,0.171,0.045,3,2.2,2.05,2.3,2.05,0,48,137,143,44.3975296,-110.5325241,9.1,41.77,0,4148157,0,,,,,,,,,,
4148457,15.09,13.6,24.19,329.3,16.34,24.117,0.396,0.112,5,2.2,2.05,2.3,2.05,0,48,135,145,44.3975296,-110.5325241,9.1,41.77,0,4148207,0,,,,,,,,,,
4148507,15.09,13.6,24.19,326.3,16.37,24.005,0.48,0.183,6,2.2,2.05,2.3,2.05,0,48,134,146,44.3975296,-110.5325241,9.1,41.77,0,4148257,0,,,,,,,,,,
4148557,15.09,13.6,26.66,326.3,16.4,23.892,0.595,0.261,8,2.2,2.06,2.3,2.05,0,48,132,148,44.3975296,-110.5325241,9.1,41.77,0,4148307,0,,,,,,,,,,
4148607,15.09,14.1,26.66,326.7,16.42,23.778,0.595,0.325,9,2.2,2.06,2.3,2.05,0,48,131,149,44.3975296,-110.5325241,9.1,41.77,0,4148357,0,,,,,,,,,,
4148657,15.09,14.1,26.66,326.7,16.44,23.664,0.686,0.394,11,2.2,2.06,2.3,2.05,0,48,129,151,44.3975296,-110.5325241,9.1,41.77,0,4148407,0,,,,,,,,,,
4148707,15.09,14.1,26.66,325.2,16.45,23.549,0.686,0.45,12,2.2,2.06,2.3,2.05,0,48,128,152,44.3975296,-110.5325241,9.1,41.77,0,4148457,0,,,,,,,,,,
4148757,15.09,14.1,26.66,325.2,16.45,23.435,0.64,0.487,13,2.2,2.06,2.3,2.05,0,48,127,153,44.39753342,-110.5325165,9.1,41.77,0,4148507,0,,,,,,,,,,
4148807,15.09,17.1,23.29,324.2,16.43,23.322,0.526,0.494,13,2.2,2.08,2.3,2.05,0,48,127,153,44.39753342,-110.5325165,9.1,41.77,0,4148557,0,,,,,,,,,,
