GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,21:30:24,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,1,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
3348724,210.37,199.6,181.1,89.8,210.37,0,-5.063,-4.888,-100,2.2,0.58,1.15,0.69,1,48,208,41,44.3990097,-110.5284882,636.78,210.06,0,3348475,0
3348774,210.37,199.6,181.1,89.1,210.49,-0.006,-5.978,-5.088,-100,2.2,0.58,1.15,0.68,1,48,208,41,44.3990097,-110.5284882,636.78,210.06,0,3348524,0
3348824,210.77,199.2,181.3,89.1,210.77,0,-4.811,-5.031,-100,2.2,0.3,1.15,0.67,1,48,208,41,44.3990097,-110.5284882,636.78,210.06,0,3348574,0
3348874,210.77,199.2,181.3,88.8,211.05,-0.014,-4.658,-4.955,-100,2.2,0.3,1.15,0.65,1,48,208,41,44.3990097,-110.5284882,636.78,210.06,0,3348624,0
3348924,211.05,199.2,181.3,88.8,211.34,-0.014,-4.487,-4.861,-100,2.2,0.3,1.15,0.63,1,48,208,41,44.3990097,-110.5284882,636.78,210.06,0,3348675,0
3348974,211.05,199.2,180.7,88.8,211.65,-0.044,-4.212,-4.733,-100,2.2,0.36,1.15,0.62,0,48,208,40,44.39900589,-110.5284882,636.78,210.06,0,3348725,0
3349024,211.05,194,180.7,88.8,211.96,-0.089,-3.891,-4.567,-100,2.2,0.36,1.15,0.61,0,48,208,40,44.39900589,-110.5284882,636.78,210.06,0,3348774,0
3349074,211.05,194,180.7,88.1,212.29,-0.151,-3.502,-4.358,-100,2.2,0.36,1.15,0.6,0,48,208,40,44.39900589,-110.5284882,636.78,210.06,0,3348824,0
3349124,211.05,194,180.7,88.1,212.62,-0.229,-3.121,-4.117,-100,2.2,0.36,1.15,0.59,0,48,208,40,44.39900589,-110.5284882,636.78,210.06,0,3348874,0
3349174,211.05,194,180,87,212.95,-0.324,-2.8,-3.861,-100,2.2,0.43,1.15,0.58,0,48,208,40,44.39900589,-110.5284882,636.78,210.06,0,3348924,0
3349224,211.05,191.9,180,87,213.27,-0.435,-2.583,-3.61,-99,2.2,0.43,1.15,0.57,0,48,208,41,44.39900589,-110.5284882,636.78,210.06,0,3348974,0
3349274,211.05,191.9,180,87.3,213.56,-0.56,-2.358,-3.365,-94,2.2,0.43,1.15,0.57,0,48,208,46,44.39900589,-110.5284882,636.78,210.06,0,3349024,0
3349324,211.05,191.9,180,87.3,213.83,-0.699,-2.293,-3.153,-90,2.2,0.43,1.15,0.56,0,48,208,50,44.39900589,-110.5284882,636.78,210.06,0,3349074,0
3349374,211.05,191.9,179.55,87.4,214.07,-0.85,-2.209,-2.965,-86,2.2,0.47,1.15,0.56,0,48,208,54,44.39900589,-110.5284882,636.78,210.06,0,3349124,0
3349424,211.05,195.7,179.55,87.4,214.29,-1.012,-2.144,-2.802,-83,2.2,0.47,1.15,0.55,0,48,208,57,44.39900589,-110.5284882,636.78,210.06,0,3349174,0
3349474,211.05,195.7,179.55,88.6,214.5,-1.184,-2.034,-2.649,-80,2.2,0.47,1.15,0.55,0,48,208,60,44.39900589,-110.5284882,636.78,210.06,0,3349224,0
