Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
7223031,49.5,71,62.88,8.9,61.81,275.198,-1.648,-1.633,-7,2.4,2.19,1.15,2.17,1,52,152,138,44.39787292,-110.5299072,132.13,326.27,5,9,0
7223081,49.5,71,62.88,8.9,61.91,275.01,-1.564,-1.625,-7,2.4,2.19,1.15,2.17,1,52,152,138,44.39787292,-110.5299072,132.13,326.27,5,59,0
7223131,49.6,65.8,62.24,9.8,62,274.818,-1.503,-1.604,-7,2.4,2.19,1.15,2.17,1,52,152,138,44.39787292,-110.5298996,132.47,326.06,5,8,0
7223181,49.6,65.8,62.24,9.8,62.09,274.62,-1.523,-1.59,-7,2.4,2.19,1.15,2.17,1,52,152,138,44.39787292,-110.5298996,132.47,326.06,5,59,0
7223231,49.7,65.8,62.24,9.8,62.2,274.417,-1.378,-1.552,-6,2.4,2.19,1.15,2.17,1,52,151,139,44.39787292,-110.5298996,132.47,326.06,5,9,0
7223281,49.7,65.8,62.24,9.8,62.3,274.207,-1.328,-1.512,-5,2.4,2.19,1.15,2.18,1,52,150,140,44.39787292,-110.5298996,132.47,326.06,5,58,0
7223331,49.8,66.6,62.76,9,62.41,273.993,-1.229,-1.461,-4,2.4,2.19,1.15,2.18,1,52,149,141,44.39787292,-110.5298996,132.47,326.06,5,9,0
7223381,49.8,66.6,62.76,9,62.42,273.777,-2.064,-1.576,-7,2.4,2.19,1.15,2.18,1,52,152,138,44.39787292,-110.5298996,132.47,326.06,5,58,0
7223431,49.9,66.6,62.76,8.7,62.55,273.558,-1.133,-1.495,-5,2.4,2.19,1.15,2.18,1,52,150,140,44.39787292,-110.5298996,132.47,326.06,5,8,0
7223481,49.9,66.6,62.76,8.7,62.77,273.326,-0.134,-1.241,0,2.4,2.19,1.15,2.18,1,52,145,145,44.39787292,-110.5298996,132.47,326.06,5,59,0
7223531,50,63.9,62.24,9.3,62.85,273.094,-1.046,-1.205,0,2.4,2.16,1.15,2.18,1,52,145,145,44.39787674,-110.5298996,132.12,325.95,5,8,0
7223581,50,63.9,62.24,9.3,62.93,272.856,-0.996,-1.166,0,2.4,2.16,1.15,2.18,1,52,145,145,44.39787674,-110.5298996,132.12,325.95,5,58,0
7223631,50.1,63.9,62.24,9,63.02,272.619,-0.92,-1.12,2,2.4,2.16,1.15,2.18,1,52,143,147,44.39787674,-110.5298996,132.12,325.95,5,8,0
7223681,50.1,63.9,62.24,9,63.09,272.377,-0.954,-1.09,2,2.4,2.16,1.15,2.17,1,52,143,147,44.39787674,-110.5298996,132.12,325.95,5,58,0
7223731,50.2,72.7,62.24,9,63.17,272.135,-0.889,-1.056,3,2.4,2.16,1.15,2.17,1,52,142,148,44.39787674,-110.5298996,132.12,325.95,5,8,0
7223781,50.2,72.7,62.24,9,63.25,271.89,-0.855,-1.023,3,2.4,2.16,1.15,2.17,1,52,142,148,44.39787674,-110.5298996,132.12,325.95,5,58,0
7223831,50.3,72.7,62.24,9,63.33,271.645,-0.836,-0.992,4,2.4,2.16,1.15,2.17,1,52,141,149,44.39787674,-110.5298996,132.12,325.95,5,8,0
7223881,50.3,72.7,62.24,9,63.4,271.396,-0.802,-0.961,4,2.4,2.16,1.15,2.17,1,52,141,149,44.39787674,-110.5298996,132.12,325.95,5,59,0
7223931,50.4,72.7,64.73,9.1,63.47,271.149,-0.847,-0.944,5,2.4,2.19,1.15,2.17,1,52,140,150,44.39787674,-110.529892,132.46,325.74,5,8,0
7223981,50.4,72.7,64.73,9.1,63.54,270.898,-0.771,-0.916,5,2.4,2.19,1.15,2.17,1,52,140,150,44.39787674,-110.529892,132.46,325.74,5,59,0
7224031,50.5,72.7,64.73,9.1,63.61,270.65,-0.748,-0.889,6,2.4,2.19,1.15,2.17,1,52,139,151,44.39787674,-110.529892,132.46,325.74,5,9,0
7224081,50.5,72.7,64.73,9.1,63.66,270.399,-0.885,-0.893,6,2.4,2.19,1.15,2.18,1,52,139,151,44.39787674,-110.529892,132.46,325.74,5,58,0
7224131,50.6,71.5,65.98,9.7,63.7,270.153,-0.958,-0.909,5,2.4,2.19,1.15,2.18,1,52,140,150,44.39787674,-110.529892,132.46,325.74,5,9,0
7224181,50.6,71.5,65.98,9.7,63.75,269.904,-0.958,-0.922,5,2.4,2.19,1.15,2.18,1,52,140,150,44.39787674,-110.529892,132.46,325.74,5,58,0
7224231,50.7,71.5,65.98,9.9,63.78,269.658,-1.084,-0.956,4,2.4,2.19,1.15,2.18,1,52,141,149,44.39787674,-110.529892,132.46,325.74,5,8,0
7224281,50.7,71.5,65.98,9.9,63.82,269.41,-1.069,-0.981,3,2.4,2.19,1.15,2.18,1,52,142,148,44.39787674,-110.529892,132.46,325.74,5,59,0
7224331,50.8,68.9,62.62,10.3,63.86,269.164,-1.095,-1.005,3,2.4,2.21,1.15,2.18,1,52,142,148,44.39788055,-110.529892,132.11,325.63,5,8,0
7224381,50.8,68.9,62.62,10.3,63.9,268.915,-1.179,-1.04,2,2.4,2.21,1.15,2.18,1,52,143,147,44.39788055,-110.529892,132.11,325.63,5,58,0
