GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,21:35:19,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,1,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
fixPointLat,44.39710999,,,,,,,,,,,,,,,,,,,,,,,
fixPointLon,-110.5308838,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
3643487,197.21,199.9,210.02,91.8,197.14,0.003,1.781,1.687,42,2.2,1.21,1.15,1.22,0,48,98,182,44.39710999,-110.5308838,9.1,41.77,0,3643237,0
3643537,197.14,205.2,210.02,91.9,197.05,0.004,1.651,1.677,42,2.2,1.21,1.15,1.22,0,48,98,182,44.39710999,-110.5308838,9.1,41.77,0,3643287,0
3643587,196.95,205.2,210.02,91.9,196.95,0,1.491,1.638,40,2.2,1.21,1.15,1.22,0,48,100,180,44.39710999,-110.5308838,9.1,41.77,0,3643338,0
3643637,196.85,205.2,210.02,92.3,196.85,0,1.365,1.583,39,2.2,1.21,1.15,1.22,0,48,101,179,44.39710999,-110.5308838,9.1,41.77,0,3643387,0
3643687,196.85,205.2,210.02,92.3,196.72,0.006,1.045,1.478,37,2.2,1.21,1.15,1.22,0,48,103,177,44.39710999,-110.5308838,9.1,41.77,0,3643437,0
3643737,196.72,201.7,210.02,92.3,196.68,0.002,1.812,1.538,38,2.2,1.21,1.15,1.22,0,48,102,178,44.39710999,-110.5308838,9.1,41.77,0,3643488,0
3643787,196.72,201.7,210.02,92.3,196.5,0.013,0.457,1.332,34,2.2,1.21,1.15,1.22,0,48,106,174,44.39710999,-110.5308838,9.1,41.77,0,3643537,0
3643837,196.72,201.7,210.02,92.5,196.31,0.033,0.164,1.11,29,2.2,1.21,1.15,1.22,0,48,111,169,44.39710999,-110.5308838,9.1,41.77,0,3643587,0
3643887,196.72,201.7,210.02,92.5,196.23,0.058,0.843,1.057,28,2.2,1.21,1.15,1.22,0,48,112,168,44.39710999,-110.5308838,9.1,41.77,0,3643637,0
3643937,196.72,200,210.02,92.5,196.04,0.091,-0.279,0.805,22,2.2,1.21,1.15,1.22,0,48,118,162,44.39710617,-110.5308914,9.1,41.77,0,3643687,0
3643987,196.72,200,210.02,92.5,195.89,0.133,-0.355,0.585,17,2.2,1.21,1.15,1.22,0,48,123,157,44.39710617,-110.5308914,9.1,41.77,0,3643737,0
3644037,196.72,200,210.02,91.8,195.76,0.181,-0.336,0.41,14,2.2,1.21,1.15,1.22,0,48,126,154,44.39710617,-110.5308914,9.1,41.77,0,3643787,0
3644087,196.72,200,210.02,91.8,195.67,0.233,-0.271,0.28,11,2.2,1.21,1.15,1.22,0,48,129,151,44.39710617,-110.5308914,9.1,41.77,0,3643837,0
3644137,196.72,196.5,210.02,90.5,195.61,0.288,-0.184,0.192,9,2.2,1.21,1.15,1.22,0,48,131,149,44.39710617,-110.5308914,9.1,41.77,0,3643887,0
3644187,196.72,196.5,210.02,90.5,195.56,0.346,-0.203,0.118,7,2.2,1.21,1.15,1.22,0,48,133,147,44.39710617,-110.5308914,9.1,41.77,0,3643937,0
3644237,196.72,196.5,210.02,89.6,195.54,0.405,-0.008,0.094,7,2.2,1.21,1.15,1.22,0,48,133,147,44.39710617,-110.5308914,9.1,41.77,0,3643987,0
3644287,196.72,196.5,210.02,89.6,195.55,0.463,0.19,0.111,7,2.2,1.21,1.15,1.21,0,48,133,147,44.39710617,-110.5308914,9.1,41.77,0,3644037,0
3644337,196.72,196.2,210.02,89.4,195.58,0.52,0.454,0.175,9,2.2,1.21,1.15,1.21,0,48,131,149,44.39710617,-110.5308914,9.1,41.77,0,3644087,0
3644387,196.72,196.2,210.02,89.4,195.63,0.575,0.713,0.276,11,2.2,1.21,1.15,1.21,0,48,129,151,44.39710617,-110.5308914,9.1,41.77,0,3644137,0
3644437,196.72,196.2,210.02,89.4,195.58,0.631,-0.016,0.221,10,2.2,1.21,1.15,1.21,0,48,130,150,44.39710617,-110.5308914,9.1,41.77,0,3644187,0
3644487,196.72,196.2,210.02,89.4,195.66,0.684,1.079,0.382,13,2.2,1.21,1.15,1.21,0,48,127,153,44.39710617,-110.5308914,9.1,41.77,0,3644237,0
3644537,196.72,199.1,210.02,89.4,195.73,0.734,1.197,0.533,17,2.2,1.21,0,1.21,0,48,123,157,44.39710617,-110.5308914,9.1,41.77,0,3644287,0
3644587,196.72,199.1,210.02,89.4,195.77,0.781,1.197,0.657,20,2.2,1.21,0,1.21,0,48,120,160,44.39710617,-110.5308914,9.1,41.77,0,3644337,0
3644637,196.72,199.1,210.02,89.6,195.8,0.827,1.197,0.757,22,2.2,1.21,0,1.21,0,48,118,162,44.39710617,-110.5308914,9.1,41.77,0,3644387,0
3644687,196.72,199.1,210.02,89.6,195.8,0.873,1.079,0.816,24,2.2,1.21,0,1.21,0,48,116,164,44.39710617,-110.5308914,9.1,41.77,0,3644437,0
3644737,196.72,198.6,210.02,90.1,195.76,0.921,0.865,0.824,24,2.2,1.21,0,1.21,0,48,116,164,44.39710236,-110.5308914,9.1,41.77,0,3644487,0
3644787,196.72,198.6,210.02,90.1,195.71,0.971,0.721,0.803,24,2.2,1.21,0,1.21,0,48,116,164,44.39710236,-110.5308914,9.1,41.77,0,3644537,0
3644837,196.72,198.6,210.02,90.1,195.64,1.025,0.419,0.729,22,2.2,1.21,0,1.21,0,48,118,162,44.39710236,-110.5308914,9.1,41.77,0,3644587,0
3644887,196.72,198.6,210.02,90.1,195.54,1.084,0.186,0.626,20,2.2,1.21,0,1.21,0,48,120,160,44.39710236,-110.5308914,9.1,41.77,0,3644637,0
3644937,196.72,199.6,210.02,92.1,195.43,1.148,-0.222,0.465,17,2.2,1.21,0,1.21,0,48,123,157,44.39710236,-110.5308914,9.1,41.77,0,3644687,0
3644987,196.72,199.6,210.02,92.1,195.31,1.219,-0.458,0.289,13,2.2,1.21,0,1.21,0,48,127,153,44.39710236,-110.5308914,9.1,41.77,0,3644737,0
3645037,196.72,199.6,210.02,92.1,195.2,1.295,-0.699,0.102,9,2.2,1.21,0,1.21,0,48,131,149,44.39710236,-110.5308914,9.1,41.77,0,3644787,0
3645087,196.72,199.6,210.02,92.1,195.09,1.376,-0.939,-0.096,4,2.2,1.21,0,1.21,0,48,136,144,44.39710236,-110.5308914,9.1,41.77,0,3644837,0
3645137,196.72,198.6,210.02,92.1,195,1.462,-1.019,-0.271,0,2.2,1.21,0,1.21,0,48,140,140,44.39710236,-110.5308914,9.1,41.77,0,3644887,0
3645187,196.72,198.6,210.02,92.1,194.91,1.553,-1.229,-0.453,-3,2.2,1.21,0,1.21,0,48,143,137,44.39710236,-110.5308914,9.1,41.77,0,3644937,0
3645237,196.72,198.6,210.02,92.1,194.86,1.646,-1.248,-0.604,-7,2.2,1.21,0,1.21,0,48,147,133,44.39710236,-110.5308914,9.1,41.77,0,3644987,0
3645287,196.72,198.6,210.02,91.8,194.82,1.741,-1.309,-0.738,-10,2.2,1.21,0,1.21,0,48,150,130,44.39710236,-110.5308914,9.1,41.77,0,3645037,0
3645337,196.72,199.9,210.02,91.8,194.8,1.837,-1.32,-0.85,-13,2.2,1.21,0,1.21,0,48,153,127,44.39710236,-110.5308914,9.1,41.77,0,3645087,0
3645387,196.72,199.9,210.02,91.8,194.8,1.933,-1.278,-0.933,-15,2.2,1.21,0,1.21,0,48,155,125,44.39710236,-110.5308914,9.1,41.77,0,3645137,0
3645437,196.72,199.9,210.02,91.8,194.82,2.028,-1.172,-0.98,-16,2.2,1.21,0,1.21,0,48,156,124,44.39710236,-110.5308914,9.1,41.77,0,3645187,0
3645487,196.72,199.9,210.02,90.5,194.87,2.12,-1,-0.986,-16,2.2,1.21,0,1.21,0,48,156,124,44.39710236,-110.5308914,9.1,41.77,0,3645237,0
3645537,196.72,198.4,210.02,90.5,194.93,2.21,-0.912,-0.974,-16,2.2,1.21,0,1.21,0,48,156,124,44.39709854,-110.5308914,9.1,41.77,0,3645287,0
3645587,196.72,198.4,210.02,90.3,195.01,2.295,-0.71,-0.926,-15,2.2,1.21,0,1.21,0,48,155,125,44.39709854,-110.5308914,9.1,41.77,0,3645337,0
3645637,196.72,198.4,210.02,90.3,195.11,2.376,-0.466,-0.841,-13,2.2,1.21,0,1.21,0,48,153,127,44.39709854,-110.5308914,9.1,41.77,0,3645387,0
3645687,196.72,198.4,210.02,89.6,195.21,2.451,-0.218,-0.726,-11,2.2,1.21,0,1.21,0,48,151,129,44.39709854,-110.5308914,9.1,41.77,0,3645437,0
