GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,23:27:56,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,2,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
9100374,352.79,343.9,2.43,262.7,348.92,-94.999,-0.313,0.093,-10,2.4,2.13,1.15,2.15,0,52,154,134,44.39829636,-110.5309448,94.64,181.1,2,1001186,0
9100424,352.79,343.9,2.43,264,348.86,-95.059,-0.348,0.012,-12,2.4,2.13,1.15,2.15,0,52,156,132,44.39829636,-110.5309448,94.64,181.1,2,1001236,0
9100474,352.79,346.9,2.43,264,348.84,-95.118,-0.172,-0.021,-13,2.4,2.13,1.15,2.15,0,52,157,131,44.39830017,-110.5309448,94.64,181.1,2,1001286,0
9100524,352.79,346.9,2.43,264,348.83,-95.174,-0.164,-0.047,-13,2.4,2.13,1.15,2.15,0,52,157,131,44.39830017,-110.5309448,94.64,181.1,2,1001336,0
9100574,352.79,346.9,2.43,264,348.84,-95.231,0.038,-0.03,-13,2.4,2.13,1.15,2.15,0,52,157,131,44.39830017,-110.5309448,94.64,181.1,2,1001386,0
9100624,352.79,346.9,2.43,267.6,348.87,-95.288,0.301,0.033,-12,2.4,2.13,1.15,2.15,0,52,156,132,44.39830017,-110.5309448,94.64,181.1,2,1001436,0
9100674,352.79,350.4,2.43,267.6,348.93,-95.349,0.587,0.136,-9,2.4,2.13,1.15,2.15,0,52,153,135,44.39830017,-110.5309448,94.64,181.1,2,1001486,0
9100724,352.79,350.4,2.99,268.8,348.99,-95.413,0.766,0.254,-7,2.4,2.14,1.15,2.15,0,52,151,137,44.39830017,-110.5309448,94.64,181.1,2,1001537,0
9100774,352.79,350.4,2.99,268.8,349.05,-95.48,0.927,0.38,-4,2.4,2.14,1.15,2.15,0,52,148,140,44.39830017,-110.5309448,94.64,181.1,2,1001586,0
9100824,352.79,350.4,2.99,268.8,349.09,-95.551,0.957,0.487,-1,2.4,2.14,1.15,2.15,0,52,145,143,44.39830017,-110.5309448,94.64,181.1,2,1001636,0
9100874,352.79,350.6,2.99,268.8,349.11,-95.623,0.888,0.562,0,2.4,2.14,1.15,2.15,0,52,144,144,44.39830017,-110.5309448,94.64,181.1,2,1001686,0
9100924,352.79,350.6,2.99,268.8,349.08,-95.694,0.625,0.573,0,2.4,2.14,1.15,2.15,0,52,144,144,44.39830017,-110.5309448,94.64,181.1,2,1001736,0
9100974,352.79,350.6,2.99,268.8,349.03,-95.762,0.282,0.518,0,2.4,2.14,1.15,2.15,0,52,144,144,44.39830017,-110.5309448,94.64,181.1,2,1001786,0
9101024,352.79,350.6,2.99,268.7,348.97,-95.826,0.255,0.468,-1,2.4,2.14,1.15,2.15,0,52,145,143,44.39830017,-110.5309448,94.64,181.1,2,1001836,0
9101074,352.79,346.8,2.99,268.7,348.91,-95.886,0.087,0.397,-3,2.4,2.14,1.15,2.14,0,52,147,141,44.39830399,-110.5309448,94.64,181.1,2,1001886,0
9101124,352.79,346.8,2.99,268.8,348.86,-95.941,0.125,0.347,-4,2.4,2.14,1.15,2.14,0,52,148,140,44.39830399,-110.5309448,94.64,181.1,2,1001936,0
9101174,352.79,346.8,2.99,268.8,348.81,-95.997,0.064,0.295,-5,2.4,2.14,1.15,2.14,0,52,149,139,44.39830399,-110.5309448,94.64,181.1,2,1001986,0
9101224,352.79,346.8,2.99,266.4,348.76,-96.047,-0.035,0.234,-6,2.4,2.14,1.15,2.14,0,52,150,138,44.39830399,-110.5309448,94.64,181.1,2,1002036,0
9101274,352.79,346.7,2.99,266.4,348.72,-96.09,-0.084,0.175,-8,2.4,2.14,1.15,2.14,0,52,152,136,44.39830399,-110.5309448,94.64,181.1,2,1002086,0
9101324,352.79,346.7,2.99,260.9,348.68,-96.129,-0.103,0.124,-9,2.4,2.14,1.15,2.14,0,52,153,135,44.39830399,-110.5309448,94.64,181.1,2,1002136,0
9101374,352.79,346.7,2.99,260.9,348.66,-96.163,0.003,0.102,-9,2.4,2.14,1.15,2.14,0,52,153,135,44.39830399,-110.5309448,94.64,181.1,2,1002186,0
9101424,352.79,346.7,2.99,259.7,348.64,-96.193,0.022,0.088,-10,2.4,2.14,1.15,2.14,0,52,154,134,44.39830399,-110.5309448,94.64,181.1,2,1002236,0
9101474,352.79,344.5,2.99,259.7,348.65,-96.222,0.183,0.108,-9,2.4,2.14,1.15,2.14,0,52,153,135,44.3983078,-110.5309448,94.64,181.1,2,1002286,0
9101524,352.79,344.5,2.99,259.3,348.65,-96.25,0.232,0.133,-8,2.4,2.14,1.15,2.14,0,52,152,136,44.3983078,-110.5309448,94.64,181.1,2,1002336,0
9101574,352.79,344.5,2.99,259.3,348.66,-96.277,0.297,0.166,-8,2.4,2.14,1.15,2.14,0,52,152,136,44.3983078,-110.5309448,94.64,181.1,2,1002386,0
9101624,352.79,344.5,2.99,257.5,348.66,-96.305,0.312,0.195,-7,2.4,2.14,1.15,2.14,0,52,151,137,44.3983078,-110.5309448,94.64,181.1,2,1002436,0
9101674,352.79,348.4,2.99,257.5,348.68,-96.336,0.442,0.242,-6,2.4,2.14,1.15,2.14,0,52,150,138,44.3983078,-110.5309448,94.64,181.1,2,1002486,0
9101724,352.79,348.4,2.99,259.9,348.68,-96.37,0.392,0.27,-5,2.4,2.14,1.15,2.14,0,52,149,139,44.3983078,-110.5309448,94.64,181.1,2,1002536,0
9101774,352.79,348.4,2.99,259.9,348.68,-96.406,0.37,0.289,-5,2.4,2.14,1.15,2.14,0,52,149,139,44.3983078,-110.5309448,94.64,181.1,2,1002586,0
9101824,352.79,348.4,2.99,260.7,348.66,-96.444,0.286,0.289,-5,2.4,2.14,1.15,2.14,0,52,149,139,44.3983078,-110.5309448,94.64,181.1,2,1002636,0
9101874,352.79,345.9,2.99,260.7,348.64,-96.485,0.217,0.276,-5,2.4,2.14,1.15,2.14,0,52,149,139,44.39831161,-110.5309448,94.64,181.1,2,1002686,0
9101924,352.79,345.9,2.99,260.7,348.61,-96.526,0.095,0.244,-6,2.4,2.14,1.15,2.14,0,52,150,138,44.39831161,-110.5309448,94.64,181.1,2,1002736,0
9101974,352.79,345.9,2.99,260.7,348.56,-96.568,-0.039,0.192,-7,2.4,2.14,1.15,2.14,0,52,151,137,44.39831161,-110.5309448,94.64,181.1,2,1002786,0
9102024,352.79,345.9,2.99,264.1,348.52,-96.609,-0.161,0.127,-8,2.4,2.14,1.15,2.14,0,52,152,136,44.39831161,-110.5309448,94.64,181.1,2,1002836,0
9102074,352.79,350.3,2.99,264.1,348.48,-96.65,-0.191,0.066,-10,2.4,2.14,1.15,2.14,0,52,154,134,44.39831161,-110.5309448,94.64,181.1,2,1002886,0
