Abs Time(Sec),B1,B2,Compass Heading,
424.2328362,03,00,76.8,76.8
424.4197067,03,0A,77.8,77.8
424.6045531,03,0A,77.8,77.8
424.7049065,03,09,77.7,77.7
424.8052097,03,0F,78.3,78.3
424.9055724,03,07,77.5,77.5
425.004921,03,0A,77.8,77.8
425.1052431,03,12,78.6,78.6
425.2056089,03,11,78.5,78.5
425.550332,03,10,78.4,78.4
425.6489595,03,16,79,79
425.7493167,03,19,79.3,79.3
425.8496655,03,19,79.3,79.3
425.948967,03,19,79.3,79.3
426.0493173,03,16,79,79
426.1497046,03,19,79.3,79.3
426.2490101,03,19,79.3,79.3
426.5533603,03,1B,79.5,79.5
426.7436847,03,1B,79.5,79.5
426.8438997,03,1B,79.5,79.5
426.9442528,03,1B,79.5,79.5
427.0436137,03,1F,79.9,79.9
427.1439684,03,25,80.5,80.5
427.2443026,03,26,80.6,80.6
427.5205788,03,21,80.1,80.1
427.614959,03,21,80.1,80.1
427.7153166,03,22,80.2,80.2
427.8146455,03,26,80.6,80.6
427.9149943,03,21,80.1,80.1
428.0153209,03,24,80.4,80.4
428.1146554,03,27,80.7,80.7
428.215013,03,25,80.5,80.5
428.4116475,03,21,80.1,80.1
428.5825894,03,21,80.1,80.1
428.6829397,03,25,80.5,80.5
428.7832853,03,27,80.7,80.7
428.882626,03,24,80.4,80.4
428.9829925,03,1E,79.8,79.8
429.0832881,03,23,80.3,80.3
429.183637,03,26,80.6,80.6
429.3171647,03,29,80.9,80.9
429.5533255,03,29,80.9,80.9
429.6536427,03,24,80.4,80.4
429.7540259,03,1D,79.7,79.7
429.8533324,03,1D,79.7,79.7
429.953708,03,19,79.3,79.3
430.054031,03,18,79.2,79.2
430.1533724,03,17,79.1,79.1
430.2537225,03,17,79.1,79.1
430.5452695,03,19,79.3,79.3
430.6284947,03,19,79.3,79.3
430.7287841,03,14,78.8,78.8
430.829147,03,0B,77.9,77.9
430.9294913,03,11,78.5,78.5
431.0298291,03,0A,77.8,77.8
431.1291761,03,0C,78,78
431.2295287,03,05,77.3,77.3
431.5421154,02,FD,76.5,76.5
431.7261259,02,FD,76.5,76.5
431.8264956,02,EE,75,75
431.9268324,02,EC,74.8,74.8
432.026171,02,EC,74.8,74.8
432.1264928,02,DE,73.4,73.4
432.2268425,02,DF,73.5,73.5
432.3261674,02,DC,73.2,73.2
432.5995825,02,DD,73.3,73.3
432.6999038,02,D1,72.1,72.1
432.7992727,02,CA,71.4,71.4
432.8995769,02,C1,70.5,70.5
432.9999455,02,BE,70.2,70.2
433.0992609,02,BB,69.9,69.9
433.1996396,02,B8,69.6,69.6
433.3795834,02,A8,68,68
433.5682329,02,A8,68,68
433.6685796,02,9E,67,67
433.7679429,02,98,66.4,66.4
433.8682791,02,8C,65.2,65.2
433.9686124,02,85,64.5,64.5
434.067959,02,87,64.7,64.7
434.1682722,02,7D,63.7,63.7
434.2686383,02,7A,63.4,63.4
434.5862211,02,62,61,61
434.6689858,02,62,61,61
434.769349,02,56,59.8,59.8
434.8696713,02,54,59.6,59.6
434.9690385,02,48,58.4,58.4
435.0693781,02,35,56.5,56.5
435.1697332,02,38,56.8,56.8
435.2690056,02,35,56.5,56.5
435.5442175,02,1F,54.3,54.3
435.6386949,02,1F,54.3,54.3
435.7380195,02,13,53.1,53.1
435.8383499,02,0B,52.3,52.3
435.9387014,02,0A,52.2,52.2
436.0390543,01,FF,51.1,51.1
436.1393928,01,F1,49.7,49.7
436.2387232,01,E9,48.9,48.9
436.3390686,01,DB,47.5,47.5
436.7437816,01,B6,43.8,43.8
436.8438658,01,B6,43.8,43.8
436.9442081,01,AA,42.6,42.6
437.0445759,01,9B,41.1,41.1
437.1449508,01,93,40.3,40.3
437.2452514,01,90,40,40
437.3445796,01,86,39,39
437.6176934,01,78,37.6,37.6
