Vehicle Spy 3 Bus Traffic File
Save Date,7/31/2015
Save Time,3:15:55 pm
Start Date,7/31/2015
Start Time,2:50:38 pm
System Time,2548284
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
HS CAN,Default,HS CAN,CAN,500000,
MS CAN,Default,MS CAN,CAN,125000,
SW CAN,Default,SW CAN,CAN,33333,
J1850 VPW,Default,J1850 VPW,J1850 VPW,10417,
ISO9141/KW2K,Default,ISO9141/KW2K,KeyWord 2000,10417,
LSFT CAN,Default,LSFT CAN,CAN,125000,
J1850 PWM,Default,J1850 PWM,J1850 PWM,41600,
J1708,Default,J1708,J1708,9600,
neoVI,Default,neoVI,CAN,,
HS CAN2 (neoVI 3G),Default,HS CAN2 (neoVI 3G),CAN,500000,
HS CAN3 (neoVI 3G),Default,HS CAN3 (neoVI 3G),CAN,500000,
LIN2 (neoVI 3G),Default,LIN2 (neoVI 3G),LIN,10417,
LIN3 (neoVI 3G),Default,LIN3 (neoVI 3G),LIN,10417,
LIN4 (neoVI 3G),Default,LIN4 (neoVI 3G),LIN,10417,
CGI (neoVI 3G),Default,CGI (neoVI 3G),CGI,625000,
LIN,Default,LIN,LIN,10417,
ISO9141/KW2K 2,Default,ISO9141/KW2K 2,KeyWord 2000,10417,
ISO9141/KW2K 3,Default,ISO9141/KW2K 3,KeyWord 2000,10417,
ISO9141/KW2K 4,Default,ISO9141/KW2K 4,KeyWord 2000,10417,
SW CAN2 (neoVI 3G),Default,SW CAN2 (neoVI 3G),CAN,33333,
LSFT CAN2 (neoVI 3G),Default,LSFT CAN2 (neoVI 3G),CAN,125000,
UART (neoVI 3G),Default,UART (neoVI 3G),UART,10417,
UART2 (neoVI 3G),Default,UART2 (neoVI 3G),UART,10417,
neoMOST,Default,neoMOST,MOST,1000000,
MOST (VNET A),Default,MOST (VNET A),MOST,1000000,
FlexRay1A (VNET A),Default,FlexRay1A (VNET A),FlexRay,5000000,
FlexRay1B (VNET A),Default,FlexRay1B (VNET A),FlexRay,5000000,
FlexRay2A (VNET A),Default,FlexRay2A (VNET A),FlexRay,5000000,
FlexRay2B (VNET A),Default,FlexRay2B (VNET A),FlexRay,5000000,
HS CAN (VNET A),Default,HS CAN (VNET A),CAN,500000,
MS CAN (VNET A),Default,MS CAN (VNET A),CAN,500000,
SW CAN (VNET A),Default,SW CAN (VNET A),CAN,500000,
J1850 VPW (VNET A),Default,J1850 VPW (VNET A),CAN,500000,
LSFT CAN (VNET A),Default,LSFT CAN (VNET A),CAN,500000,
J1708 (VNET A),Default,J1708 (VNET A),CAN,500000,
neoVI (VNET A),Default,neoVI (VNET A),CAN,500000,
HS CAN2 (VNET A),Default,HS CAN2 (VNET A),CAN,500000,
HS CAN3 (VNET A),Default,HS CAN3 (VNET A),CAN,500000,
LIN (VNET A),Default,LIN (VNET A),LIN,10417,
LIN2 (VNET A),Default,LIN2 (VNET A),LIN,10417,
LIN3 (VNET A),Default,LIN3 (VNET A),LIN,10417,
LIN4 (VNET A),Default,LIN4 (VNET A),LIN,10417,
CGI (VNET A),Default,CGI (VNET A),CGI,625000,
ISO9141/KW2K (VNET A),Default,ISO9141/KW2K (VNET A),CAN,500000,
ISO9141/KW2K 2 (VNET A),Default,ISO9141/KW2K 2 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 3 (VNET A),Default,ISO9141/KW2K 3 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 4 (VNET A),Default,ISO9141/KW2K 4 (VNET A),KeyWord 2000,10417,



Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
1,-114.56058595,0,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
2,-114.472221675,0.08836427500000354,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
3,-114.387947175,0.08427449999999226,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
4,-114.338309275,0.04963790000000756,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7F,,,,,,,,,
5,-114.3027714,0.03553787499998862,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
6,-114.2814911,0.02128030000000081,67371008,F,F,HS CAN $43E,HS CAN,,43E,F,F,0B,7F,00,00,00,FC,07,01,,,
7,-114.281235,0.0002561000000014246,67371008,F,F,HS CAN $43F,HS CAN,,43F,F,F,6E,53,4F,6F,2C,3C,08,C2,,,
8,-114.2809949,0.0002400999999991882,67371008,F,F,HS CAN $440,HS CAN,,440,F,F,1F,07,00,0F,CD,64,13,45,,,
9,-114.2654921,0.01550280000000726,67371008,F,F,HS CAN $441,HS CAN,,441,F,F,0A,69,00,F9,14,0A,13,00,,,
10,-114.223707625,0.04178447500000004,67371008,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7F,,,,,,,,,
11,-114.21374405,0.009963575000000446,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
12,-114.129385525,0.08435852499999896,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
13,-114.12437375,0.00501177499999983,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,82,,,,,,,,,
14,-114.044230975,0.08014277499999878,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
15,-114.0240725,0.02015847500000234,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7F,,,,,,,,,
16,-113.959066675,0.06500582500000007,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
17,-113.92367765,0.03538902500000063,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,87,,,,,,,,,
18,-113.87468075,0.04899689999999168,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
19,-113.824394925,0.05028582500000311,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,84,,,,,,,,,
20,-113.789507125,0.03488780000000702,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
21,-113.72404455,0.06546257499999797,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,80,,,,,,,,,
22,-113.70444365,0.01960090000000036,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
23,-113.620093075,0.08435057500000198,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
24,-113.5350306,0.08506247499998665,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
25,-113.4499621,0.08506850000000554,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,00,00,0A,C3,,,,,,,
26,-113.4346892,0.01527289999999937,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,7D,,,,,,,,,
